"fmun_cod";"fmun";"ano";"total_roubos";"total_furtos";"registro_ocorrencias"
"3300456";"Belford Roxo";"2017";"5856";"1206";"13892"
"3300456";"Belford Roxo";"2018";"7645";"1183";"16790"
"3300456";"Belford Roxo";"2019";"6863";"1279";"16019"
"3300456";"Belford Roxo";"2020";"4947";"1105";"12563"
"3300456";"Belford Roxo";"2021";"4101";"1159";"11925"
"3300456";"Belford Roxo";"2022";"3569";"1633";"15546"
"3300456";"Belford Roxo";"2023";"3686";"1694";"15810"
"3300456";"Belford Roxo";"2024";"5060";"2043";"19114"
"3300456";"Belford Roxo";"2025";"2362";"1252";"12503"
"3300506";"Bom Jardim";"2014";"7";"118";"661"
"3300506";"Bom Jardim";"2015";"8";"87";"632"
"3300506";"Bom Jardim";"2016";"18";"70";"624"
"3300506";"Bom Jardim";"2017";"14";"76";"700"
"3300506";"Bom Jardim";"2018";"23";"64";"671"
"3300506";"Bom Jardim";"2019";"12";"78";"635"
"3300506";"Bom Jardim";"2020";"7";"51";"612"
"3300506";"Bom Jardim";"2021";"7";"59";"660"
"3300506";"Bom Jardim";"2022";"14";"66";"676"
"3300506";"Bom Jardim";"2023";"5";"53";"703"
"3300506";"Bom Jardim";"2024";"4";"56";"890"
"3300506";"Bom Jardim";"2025";"2";"35";"661"
"3300605";"Bom Jesus do Itabapoana";"2014";"8";"249";"1561"
"3300605";"Bom Jesus do Itabapoana";"2015";"6";"233";"1361"
"3300605";"Bom Jesus do Itabapoana";"2016";"25";"298";"1533"
"3300605";"Bom Jesus do Itabapoana";"2017";"23";"243";"1387"
"3300605";"Bom Jesus do Itabapoana";"2018";"20";"279";"1521"
"3300605";"Bom Jesus do Itabapoana";"2019";"32";"195";"1347"
"3300605";"Bom Jesus do Itabapoana";"2020";"8";"101";"880"
"3300605";"Bom Jesus do Itabapoana";"2021";"8";"118";"956"
"3300605";"Bom Jesus do Itabapoana";"2022";"5";"136";"1166"
"3300605";"Bom Jesus do Itabapoana";"2023";"9";"246";"1561"
"3300605";"Bom Jesus do Itabapoana";"2024";"4";"168";"1457"
"3300605";"Bom Jesus do Itabapoana";"2025";"3";"151";"1213"
"3300704";"Cabo Frio";"2014";"929";"2675";"10181"
"3300704";"Cabo Frio";"2015";"716";"2290";"9415"
"3300704";"Cabo Frio";"2016";"952";"1803";"8694"
"3300704";"Cabo Frio";"2017";"1049";"1725";"6930"
"3300704";"Cabo Frio";"2018";"960";"1442";"6876"
"3300704";"Cabo Frio";"2019";"1032";"1880";"8237"
"3300704";"Cabo Frio";"2020";"628";"1547";"6961"
"3300704";"Cabo Frio";"2021";"545";"1371";"7177"
"3300704";"Cabo Frio";"2022";"497";"2163";"10197"
"3300704";"Cabo Frio";"2023";"383";"2237";"11452"
"3300704";"Cabo Frio";"2024";"391";"2174";"11963"
"3300704";"Cabo Frio";"2025";"257";"1890";"10975"
"3300803";"Cachoeiras de Macacu";"2014";"74";"315";"1964"
"3300803";"Cachoeiras de Macacu";"2015";"48";"342";"1861"
"3300803";"Cachoeiras de Macacu";"2016";"154";"377";"1871"
"3300803";"Cachoeiras de Macacu";"2017";"104";"333";"1433"
"3300803";"Cachoeiras de Macacu";"2018";"205";"265";"1525"
"3300803";"Cachoeiras de Macacu";"2019";"160";"263";"1575"
"3300803";"Cachoeiras de Macacu";"2020";"78";"176";"1137"
"3300803";"Cachoeiras de Macacu";"2021";"64";"142";"1253"
"3300803";"Cachoeiras de Macacu";"2022";"54";"163";"1221"
"3300803";"Cachoeiras de Macacu";"2023";"39";"139";"1390"
"3300803";"Cachoeiras de Macacu";"2024";"34";"183";"1560"
"3300803";"Cachoeiras de Macacu";"2025";"23";"112";"1235"
"3300902";"Cambuci";"2014";"1";"32";"445"
"3300902";"Cambuci";"2015";"1";"54";"443"
"3300902";"Cambuci";"2016";"5";"32";"441"
"3300902";"Cambuci";"2017";"6";"30";"449"
"3300902";"Cambuci";"2018";"2";"42";"487"
"3300902";"Cambuci";"2019";"4";"52";"559"
"3300902";"Cambuci";"2020";"4";"40";"441"
"3300902";"Cambuci";"2021";"0";"62";"466"
"3300902";"Cambuci";"2022";"2";"45";"441"
"3300902";"Cambuci";"2023";"4";"43";"545"
"3300902";"Cambuci";"2024";"1";"56";"603"
"3300902";"Cambuci";"2025";"1";"62";"436"
"3300936";"Carapebus";"2014";"0";"0";"0"
"3300936";"Carapebus";"2015";"0";"0";"0"
"3300936";"Carapebus";"2016";"0";"0";"0"
"3300936";"Carapebus";"2017";"20";"26";"144"
"3300936";"Carapebus";"2018";"36";"24";"217"
"3300936";"Carapebus";"2019";"24";"46";"241"
"3300936";"Carapebus";"2020";"20";"32";"282"
"3300936";"Carapebus";"2021";"14";"46";"296"
"3300936";"Carapebus";"2022";"16";"45";"297"
"3300936";"Carapebus";"2023";"7";"42";"322"
"3300936";"Carapebus";"2024";"5";"27";"361"
"3300936";"Carapebus";"2025";"3";"22";"281"
"3300951";"Comendador Levy Gasparian";"2014";"0";"0";"0"
"3300951";"Comendador Levy Gasparian";"2015";"0";"0";"0"
"3300951";"Comendador Levy Gasparian";"2016";"0";"0";"0"
"3300951";"Comendador Levy Gasparian";"2017";"3";"17";"140"
"3300951";"Comendador Levy Gasparian";"2018";"1";"32";"320"
"3300951";"Comendador Levy Gasparian";"2019";"6";"18";"366"
"3300951";"Comendador Levy Gasparian";"2020";"2";"12";"177"
"3300951";"Comendador Levy Gasparian";"2021";"1";"19";"253"
"3300951";"Comendador Levy Gasparian";"2022";"4";"15";"252"
"3300951";"Comendador Levy Gasparian";"2023";"7";"22";"287"
"3300951";"Comendador Levy Gasparian";"2024";"0";"41";"290"
"3300951";"Comendador Levy Gasparian";"2025";"0";"28";"252"
"3301009";"Campos dos Goytacazes";"2014";"1859";"3783";"16246"
"3301009";"Campos dos Goytacazes";"2015";"1402";"3568";"14748"
"3301009";"Campos dos Goytacazes";"2016";"2264";"3183";"14553"
"3301009";"Campos dos Goytacazes";"2017";"2069";"2859";"12510"
"3301009";"Campos dos Goytacazes";"2018";"2372";"3229";"13747"
"3301009";"Campos dos Goytacazes";"2019";"1610";"3138";"14530"
"3301009";"Campos dos Goytacazes";"2020";"925";"2054";"10894"
"3301009";"Campos dos Goytacazes";"2021";"1006";"2182";"11918"
"3301009";"Campos dos Goytacazes";"2022";"955";"2870";"16561"
"3301009";"Campos dos Goytacazes";"2023";"937";"2880";"19585"
"3301009";"Campos dos Goytacazes";"2024";"537";"2358";"20096"
"3301009";"Campos dos Goytacazes";"2025";"479";"2085";"15328"
"3301108";"Cantagalo";"2014";"28";"135";"865"
"3301108";"Cantagalo";"2015";"20";"119";"646"
"3301108";"Cantagalo";"2016";"30";"69";"600"
"3301108";"Cantagalo";"2017";"22";"66";"616"
"3301108";"Cantagalo";"2018";"14";"78";"594"
"3301108";"Cantagalo";"2019";"11";"55";"679"
"3301108";"Cantagalo";"2020";"4";"48";"549"
"3301108";"Cantagalo";"2021";"3";"39";"554"
"3301108";"Cantagalo";"2022";"2";"78";"597"
"3301108";"Cantagalo";"2023";"3";"71";"710"
"3301108";"Cantagalo";"2024";"2";"48";"698"
"3301108";"Cantagalo";"2025";"3";"51";"573"
"3301157";"Cardoso Moreira";"2014";"9";"98";"865"
"3301157";"Cardoso Moreira";"2015";"8";"111";"972"
"3301157";"Cardoso Moreira";"2016";"14";"118";"957"
"3301157";"Cardoso Moreira";"2017";"7";"56";"462"
"3301157";"Cardoso Moreira";"2018";"9";"45";"366"
"3301157";"Cardoso Moreira";"2019";"9";"43";"383"
"3301157";"Cardoso Moreira";"2020";"3";"28";"362"
"3301157";"Cardoso Moreira";"2021";"2";"47";"330"
"3301157";"Cardoso Moreira";"2022";"2";"62";"345"
"3301157";"Cardoso Moreira";"2023";"1";"24";"352"
"3301157";"Cardoso Moreira";"2024";"2";"28";"350"
"3301157";"Cardoso Moreira";"2025";"1";"21";"283"
"3301207";"Carmo";"2014";"15";"85";"837"
"3301207";"Carmo";"2015";"14";"72";"769"
"3301207";"Carmo";"2016";"9";"83";"801"
"3301207";"Carmo";"2017";"11";"79";"905"
"3301207";"Carmo";"2018";"18";"84";"1059"
"3301207";"Carmo";"2019";"3";"98";"998"
"3301207";"Carmo";"2020";"1";"35";"770"
"3301207";"Carmo";"2021";"8";"54";"763"
"3301207";"Carmo";"2022";"4";"72";"704"
"3301207";"Carmo";"2023";"4";"77";"810"
"3301207";"Carmo";"2024";"4";"57";"727"
"3301207";"Carmo";"2025";"2";"47";"612"
"3301306";"Casimiro de Abreu";"2014";"110";"355";"1750"
"3301306";"Casimiro de Abreu";"2015";"79";"273";"1432"
"3301306";"Casimiro de Abreu";"2016";"150";"211";"1505"
"3301306";"Casimiro de Abreu";"2017";"142";"233";"1409"
"3301306";"Casimiro de Abreu";"2018";"123";"179";"1238"
"3301306";"Casimiro de Abreu";"2019";"99";"239";"1328"
"3301306";"Casimiro de Abreu";"2020";"70";"143";"1147"
"3301306";"Casimiro de Abreu";"2021";"88";"179";"1409"
"3301306";"Casimiro de Abreu";"2022";"58";"182";"1477"
"3301306";"Casimiro de Abreu";"2023";"29";"172";"1274"
"3301306";"Casimiro de Abreu";"2024";"17";"175";"1601"
"3301306";"Casimiro de Abreu";"2025";"13";"121";"1188"
"3301405";"Conceição de Macabu";"2014";"35";"104";"686"
"3301405";"Conceição de Macabu";"2015";"25";"77";"609"
"3301405";"Conceição de Macabu";"2016";"44";"89";"572"
"3301405";"Conceição de Macabu";"2017";"33";"85";"544"
"3301405";"Conceição de Macabu";"2018";"43";"85";"625"
"3301405";"Conceição de Macabu";"2019";"31";"95";"625"
"3301405";"Conceição de Macabu";"2020";"16";"48";"493"
"3301405";"Conceição de Macabu";"2021";"20";"62";"547"
"3301405";"Conceição de Macabu";"2022";"17";"50";"570"
"3301405";"Conceição de Macabu";"2023";"7";"45";"620"
"3301405";"Conceição de Macabu";"2024";"8";"46";"697"
"3301405";"Conceição de Macabu";"2025";"4";"34";"540"
"3301504";"Cordeiro";"2014";"18";"226";"805"
"3301504";"Cordeiro";"2015";"16";"179";"896"
"3301504";"Cordeiro";"2016";"24";"133";"860"
"3301504";"Cordeiro";"2017";"16";"152";"832"
"3301504";"Cordeiro";"2018";"15";"129";"898"
"3301504";"Cordeiro";"2019";"9";"133";"892"
"3301504";"Cordeiro";"2020";"2";"59";"738"
"3301504";"Cordeiro";"2021";"6";"62";"783"
"3301504";"Cordeiro";"2022";"4";"202";"1194"
"3301504";"Cordeiro";"2023";"6";"230";"1260"
"3301504";"Cordeiro";"2024";"1";"178";"1240"
"3301504";"Cordeiro";"2025";"3";"199";"1036"
"3301603";"Duas Barras";"2014";"7";"50";"414"
"3301603";"Duas Barras";"2015";"4";"51";"364"
"3301603";"Duas Barras";"2016";"7";"52";"346"
"3301603";"Duas Barras";"2017";"3";"42";"439"
"3301603";"Duas Barras";"2018";"6";"51";"425"
"3301603";"Duas Barras";"2019";"7";"45";"431"
"3301603";"Duas Barras";"2020";"3";"32";"336"
"3301603";"Duas Barras";"2021";"1";"33";"438"
"3301603";"Duas Barras";"2022";"2";"34";"433"
"3301603";"Duas Barras";"2023";"2";"34";"401"
"3301603";"Duas Barras";"2024";"2";"35";"435"
"3301603";"Duas Barras";"2025";"1";"30";"404"
"3301702";"Duque de Caxias";"2014";"13658";"7155";"43319"
"3301702";"Duque de Caxias";"2015";"10088";"7988";"37784"
"3301702";"Duque de Caxias";"2016";"15779";"5831";"40749"
"3301702";"Duque de Caxias";"2017";"16923";"4678";"39077"
"3301702";"Duque de Caxias";"2018";"18302";"5022";"40989"
"3301702";"Duque de Caxias";"2019";"15907";"5905";"40715"
"3301702";"Duque de Caxias";"2020";"10712";"3692";"28129"
"3301702";"Duque de Caxias";"2021";"9595";"4082";"28575"
"3301702";"Duque de Caxias";"2022";"9908";"5892";"35280"
"3301702";"Duque de Caxias";"2023";"8836";"5310";"34623"
"3301702";"Duque de Caxias";"2024";"9742";"5976";"40982"
"3301702";"Duque de Caxias";"2025";"6847";"4323";"30946"
"3301801";"Engenheiro Paulo de Frontin";"2014";"1";"70";"475"
"3301801";"Engenheiro Paulo de Frontin";"2015";"6";"57";"507"
"3301801";"Engenheiro Paulo de Frontin";"2016";"0";"63";"483"
"3301801";"Engenheiro Paulo de Frontin";"2017";"5";"54";"465"
"3301801";"Engenheiro Paulo de Frontin";"2018";"5";"39";"496"
"3301801";"Engenheiro Paulo de Frontin";"2019";"2";"51";"493"
"3301801";"Engenheiro Paulo de Frontin";"2020";"2";"37";"492"
"3301801";"Engenheiro Paulo de Frontin";"2021";"5";"34";"503"
"3301801";"Engenheiro Paulo de Frontin";"2022";"0";"51";"487"
"3301801";"Engenheiro Paulo de Frontin";"2023";"2";"54";"530"
"3301801";"Engenheiro Paulo de Frontin";"2024";"2";"32";"522"
"3301801";"Engenheiro Paulo de Frontin";"2025";"1";"22";"453"
"3301850";"Guapimirim";"2014";"177";"318";"1983"
"3301850";"Guapimirim";"2015";"191";"306";"1953"
"3301850";"Guapimirim";"2016";"379";"347";"2240"
"3301850";"Guapimirim";"2017";"358";"319";"1949"
"3301850";"Guapimirim";"2018";"321";"317";"1903"
"3301850";"Guapimirim";"2019";"258";"341";"1825"
"3301850";"Guapimirim";"2020";"168";"207";"1473"
"3301850";"Guapimirim";"2021";"144";"218";"1721"
"3301850";"Guapimirim";"2022";"134";"313";"2418"
"3301850";"Guapimirim";"2023";"107";"342";"2757"
"3301850";"Guapimirim";"2024";"90";"349";"2817"
"3301850";"Guapimirim";"2025";"71";"205";"2359"
"3301876";"Iguaba Grande";"2014";"75";"305";"1147"
"3301876";"Iguaba Grande";"2015";"73";"279";"1099"
"3301876";"Iguaba Grande";"2016";"96";"269";"1156"
"3301876";"Iguaba Grande";"2017";"110";"202";"923"
"3301876";"Iguaba Grande";"2018";"131";"257";"1172"
"3301876";"Iguaba Grande";"2019";"123";"344";"1223"
"3301876";"Iguaba Grande";"2020";"91";"185";"977"
"3301876";"Iguaba Grande";"2021";"93";"185";"1028"
"3301876";"Iguaba Grande";"2022";"86";"278";"1537"
"3301876";"Iguaba Grande";"2023";"43";"213";"1302"
"3301876";"Iguaba Grande";"2024";"26";"335";"1663"
"3301876";"Iguaba Grande";"2025";"24";"234";"1211"
"3301900";"Itaboraí";"2014";"1638";"1844";"9202"
"3301900";"Itaboraí";"2015";"1282";"1823";"8030"
"3301900";"Itaboraí";"2016";"2838";"1502";"9166"
"3301900";"Itaboraí";"2017";"2946";"1181";"8177"
"3301900";"Itaboraí";"2018";"3960";"1009";"9492"
"3301900";"Itaboraí";"2019";"2744";"1156";"8190"
"3301900";"Itaboraí";"2020";"1389";"795";"4939"
"3301900";"Itaboraí";"2021";"1369";"971";"5432"
"3301900";"Itaboraí";"2022";"1006";"990";"5778"
"3301900";"Itaboraí";"2023";"882";"990";"6194"
"3301900";"Itaboraí";"2024";"709";"1011";"7016"
"3301900";"Itaboraí";"2025";"374";"921";"5680"
"3302007";"Itaguaí";"2014";"926";"1322";"5577"
"3302007";"Itaguaí";"2015";"1417";"1407";"6028"
"3302007";"Itaguaí";"2016";"1587";"1116";"5544"
"3302007";"Itaguaí";"2017";"1601";"678";"4559"
"3302007";"Itaguaí";"2018";"1245";"649";"4319"
"3302007";"Itaguaí";"2019";"1170";"795";"4590"
"3302007";"Itaguaí";"2020";"458";"645";"3337"
"3302007";"Itaguaí";"2021";"494";"898";"4591"
"3302007";"Itaguaí";"2022";"506";"969";"5190"
"3302007";"Itaguaí";"2023";"419";"787";"5126"
"3302007";"Itaguaí";"2024";"309";"891";"5370"
"3302007";"Itaguaí";"2025";"205";"614";"3796"
"3302056";"Italva";"2014";"0";"0";"0"
"3302056";"Italva";"2015";"0";"0";"0"
"3302056";"Italva";"2016";"0";"0";"0"
"3302056";"Italva";"2017";"5";"51";"354"
"3302056";"Italva";"2018";"3";"112";"565"
"3302056";"Italva";"2019";"8";"172";"623"
"3302056";"Italva";"2020";"2";"60";"411"
"3302056";"Italva";"2021";"3";"66";"360"
"3302056";"Italva";"2022";"2";"75";"427"
"3302056";"Italva";"2023";"3";"46";"400"
"3302056";"Italva";"2024";"2";"47";"465"
"3302056";"Italva";"2025";"1";"22";"413"
"3302106";"Itaocara";"2014";"16";"161";"1121"
"3302106";"Itaocara";"2015";"9";"134";"898"
"3302106";"Itaocara";"2016";"12";"145";"904"
"3302106";"Itaocara";"2017";"13";"153";"961"
"3302106";"Itaocara";"2018";"15";"150";"998"
"3302106";"Itaocara";"2019";"9";"155";"979"
"3302106";"Itaocara";"2020";"4";"78";"689"
"3302106";"Itaocara";"2021";"9";"82";"838"
"3302106";"Itaocara";"2022";"4";"105";"958"
"3302106";"Itaocara";"2023";"6";"100";"1055"
"3302106";"Itaocara";"2024";"3";"91";"1026"
"3302106";"Itaocara";"2025";"2";"49";"886"
"3302205";"Itaperuna";"2014";"43";"592";"3798"
"3302205";"Itaperuna";"2015";"16";"600";"3787"
"3302205";"Itaperuna";"2016";"65";"638";"3799"
"3302205";"Itaperuna";"2017";"64";"478";"2937"
"3302205";"Itaperuna";"2018";"68";"497";"3208"
"3302205";"Itaperuna";"2019";"73";"497";"4191"
"3302205";"Itaperuna";"2020";"39";"300";"3508"
"3302205";"Itaperuna";"2021";"28";"322";"3088"
"3302205";"Itaperuna";"2022";"29";"370";"3718"
"3302205";"Itaperuna";"2023";"26";"287";"3582"
"3302205";"Itaperuna";"2024";"28";"382";"4325"
"3302205";"Itaperuna";"2025";"14";"312";"3378"
"3302254";"Itatiaia";"2014";"39";"285";"3033"
"3302254";"Itatiaia";"2015";"49";"335";"2378"
"3302254";"Itatiaia";"2016";"104";"275";"1561"
"3302254";"Itatiaia";"2017";"85";"253";"1780"
"3302254";"Itatiaia";"2018";"77";"226";"2217"
"3302254";"Itatiaia";"2019";"32";"247";"2420"
"3302254";"Itatiaia";"2020";"32";"153";"1376"
"3302254";"Itatiaia";"2021";"33";"153";"1538"
"3302254";"Itatiaia";"2022";"27";"166";"1611"
"3302254";"Itatiaia";"2023";"15";"169";"1729"
"3302254";"Itatiaia";"2024";"15";"155";"1663"
"3302254";"Itatiaia";"2025";"7";"121";"1278"
"3302270";"Japeri";"2014";"251";"369";"3798"
"3302270";"Japeri";"2015";"394";"313";"4346"
"3302270";"Japeri";"2016";"820";"269";"3576"
"3302270";"Japeri";"2017";"643";"261";"2457"
"3302270";"Japeri";"2018";"574";"291";"2560"
"3302270";"Japeri";"2019";"618";"327";"2768"
"3302270";"Japeri";"2020";"314";"249";"1976"
"3302270";"Japeri";"2021";"383";"319";"2406"
"3302270";"Japeri";"2022";"306";"329";"2521"
"3302270";"Japeri";"2023";"184";"201";"2493"
"3302270";"Japeri";"2024";"226";"312";"3261"
"3302270";"Japeri";"2025";"143";"268";"2595"
"3302304";"Laje do Muriaé";"2014";"0";"28";"291"
"3302304";"Laje do Muriaé";"2015";"2";"41";"280"
"3302304";"Laje do Muriaé";"2016";"4";"46";"328"
"3302304";"Laje do Muriaé";"2017";"5";"50";"279"
"3302304";"Laje do Muriaé";"2018";"1";"32";"275"
"3302304";"Laje do Muriaé";"2019";"0";"53";"328"
"3302304";"Laje do Muriaé";"2020";"2";"23";"243"
"3302304";"Laje do Muriaé";"2021";"0";"34";"240"
"3302304";"Laje do Muriaé";"2022";"1";"26";"253"
"3302304";"Laje do Muriaé";"2023";"1";"27";"279"
"3302304";"Laje do Muriaé";"2024";"0";"25";"321"
"3302304";"Laje do Muriaé";"2025";"0";"18";"233"
"3302403";"Macaé";"2014";"1735";"2248";"9853"
"3302403";"Macaé";"2015";"1386";"2256";"9212"
"3302403";"Macaé";"2016";"1953";"2007";"9589"
"3302403";"Macaé";"2017";"1385";"1631";"7738"
"3302403";"Macaé";"2018";"1585";"1493";"7662"
"3302403";"Macaé";"2019";"1358";"1648";"8196"
"3302403";"Macaé";"2020";"698";"974";"5916"
"3302403";"Macaé";"2021";"505";"1076";"6507"
"3302403";"Macaé";"2022";"633";"1285";"9358"
"3302403";"Macaé";"2023";"387";"1660";"10669"
"3302403";"Macaé";"2024";"186";"1586";"11961"
"3302403";"Macaé";"2025";"92";"1146";"9889"
"3302452";"Macuco";"2014";"0";"0";"0"
"3302452";"Macuco";"2015";"0";"0";"0"
"3302452";"Macuco";"2016";"0";"0";"0"
"3302452";"Macuco";"2017";"3";"10";"121"
"3302452";"Macuco";"2018";"0";"6";"158"
"3302452";"Macuco";"2019";"0";"20";"177"
"3302452";"Macuco";"2020";"4";"14";"153"
"3302452";"Macuco";"2021";"2";"16";"158"
"3302452";"Macuco";"2022";"0";"31";"211"
"3302452";"Macuco";"2023";"0";"31";"217"
"3302452";"Macuco";"2024";"0";"16";"228"
"3302452";"Macuco";"2025";"2";"27";"204"
"3302502";"Magé";"2014";"1109";"1392";"8919"
"3302502";"Magé";"2015";"953";"1675";"8042"
"3302502";"Magé";"2016";"1930";"1524";"8640"
"3302502";"Magé";"2017";"2208";"1238";"8350"
"3302502";"Magé";"2018";"1833";"1214";"8226"
"3302502";"Magé";"2019";"1334";"1234";"7993"
"3302502";"Magé";"2020";"867";"828";"6202"
"3302502";"Magé";"2021";"628";"1008";"6641"
"3302502";"Magé";"2022";"750";"1289";"8038"
"3302502";"Magé";"2023";"567";"1392";"8894"
"3302502";"Magé";"2024";"561";"1622";"10705"
"3302502";"Magé";"2025";"381";"1283";"8364"
"3302601";"Mangaratiba";"2014";"109";"474";"1884"
"3302601";"Mangaratiba";"2015";"88";"591";"2045"
"3302601";"Mangaratiba";"2016";"154";"550";"1866"
"3302601";"Mangaratiba";"2017";"237";"404";"2083"
"3302601";"Mangaratiba";"2018";"194";"423";"2151"
"3302601";"Mangaratiba";"2019";"143";"457";"2196"
"3302601";"Mangaratiba";"2020";"74";"335";"1878"
"3302601";"Mangaratiba";"2021";"62";"290";"1852"
"3302601";"Mangaratiba";"2022";"40";"293";"1824"
"3302601";"Mangaratiba";"2023";"47";"386";"2272"
"3302601";"Mangaratiba";"2024";"25";"339";"2499"
"3302601";"Mangaratiba";"2025";"14";"245";"1988"
